Sentence,Type
"My email address is in there, too.",1
We have an address and phone number.,1
The dhjan has granted us permission to address you.,2
I will address the dhjan and leave.,2
Do you know the exact street address of your mother-in-law?,1
"After explaining the situation and giving her address, she turned down the road toward the nearest public area – a service station 2 miles away.",1
She selected the address book on the phone.,1
Toby's address was listed as hers.,1
"Now, to address the challenge of getting there.",2
He was about to address Kiki again when Katie's angry words hit him.,2
"Well, the first thing we need to address is your job.",2
"Miss Sullivan's account in her address at Chautauqua, in July, 1894, at the meeting of The American Association to Promote the Teaching of Speech to the Deaf, is substantially like Miss Keller's in points of fact.",1
"Yet, when the smell of bacon lured him to the kitchen, she found herself wishing he would address the subject.",2
"But what was most amusing,"" he continued, with a sudden, good-natured laugh, ""was that we could not think how to address the reply!",2
The return address was the Doctor's office in Chicago.,1
Vinnie had given Dean his address: 879 Parsons—two rooms over a laundromat.,1
Brady opened his mouth to address her before remembering the best he could manage was a croak.,2
"I'll find the exact address, she said as she turned on the machine.",1
"Let's address that by looking at two phenomena: the changing definitions of poverty over time, and the effect of a large gap between the incomes of the rich and poor.",2
"He left a message, saying he wanted to make sure she got the address and still planned on coming tonight.",1
Old Paul Dawkins had a California address when he bought the land.,1
"The guests were reluctant to address her, feeling that she was in no mood for their conversation.",2
"You'll find our chefs the best in the world, the host said, ignoring Katie to address her sister.",2
"The return address on the envelope was Columbia, South America, but it wasn't addressed to anyone.",1
"Much the case with Howie and Julie, I felt the personal lives of our group deserved their own space to address their own problems.",2
Sofia pulled over to the side of the road to await the text and load the address into the car's GPS.,1
She gave them her sister's address and telephone number and promised to keep in touch.,1
"If you have any desire to address the rebellion in the underworld, you know how to summon me, Darkyn said with a cunning smile.",2
"My name is Platon, and the surname is Karataev, he added, evidently wishing to make it easier for Pierre to address him.",2
Another address popped up.,1
"Uneasy, he also realized he had to focus on mopping up the rest of his mess in the mortal world, so he could start to address the underworld.",2
I have to address the issues in my domain on the mortal world before I'll be allowed to return and finish repairing the underworld.,2
"I have an address, Dean added.",1
"The note was undated and if there was a return address or an envelope, it was lost over the years.",1
"So let's address it head-on: In this world of the future, do we lose our humanity?",2
"Arakcheev looked at the Emperor from under his brow and, sniffing with his red nose, stepped forward from the crowd as if expecting the Emperor to address him.",2
"They entered, and she looked up at him, afraid to address the fierce warrior.",2
"Thirty five miles later he found the address, a private home on the side street of a quiet neighborhood.",1
"Give me the address, I said.",1
"The officer, Timokhin, with his red little nose, standing on the dam wiping himself with a towel, felt confused at seeing the prince, but made up his mind to address him nevertheless.",2
I just decided it was a fait accompli and we might as well address the situation as best we can.,2
She shouted out the address as we climbed down the stairs and joined the others below.,1
"It's obvious he's not going to address the issue, Betsy grumbled as we spent our Saturday climbing nearby Mount Monadnock.",2
"At a Ramada Inn, only he wasn't really there; just the address he gave.",1
I'll update your address list virtually over the next few years.,1
"That's better, Count, said the staff captain, beginning to address Rostov by his title, as if in recognition of his confession.",2
"Murat, seeing that all is lost if the sergeant is allowed to speak, turns to Auersperg with feigned astonishment (he is a true Gascon) and says: 'I don't recognize the world-famous Austrian discipline, if you allow a subordinate to address you like that!'",2
"She wished to pray but did not dare to, dared not in her present state of mind address herself to God.",2
His polite address terrified her.,2
"Dr. Cohen says I should address the issue, whatever that means.",2
The general on horseback at the entrance to the dam raised his hand and opened his mouth to address Dolokhov.,2
"Gazing at the address on the tag, she drew a deep breath and summoned a portal.",1
Not just that you went to a certain address but that the address was a movie theater and—based on where you sat and that you ordered tickets online—you saw Episode VII of Star Wars.,1
"She flipped through her address book, gaze settling on the Watcher's name.",1
He flipped through the address book in his phone and dialed the Watcher.,1
Dean waited until he was home before looking at the address Rudman had given him.,1
"He didn't bother to point out that Bala Cynwyd, Cece Baldwin's address, was near Philadelphia, the opposite direction from Parkside.",1
"Ryland listed his address as Grand Junction, Colorado and indicated he'd stay at least through the weekend when the ice climbing festivities began in earnest.",1
"He rents an address, not too close to Parkside but not too far away, like maybe Scranton!",1
"He cleared his throat, as if ready to address a Rotary luncheon.",2
"As had occurred before when she was present, Nicholas went up to her without waiting to be prompted by the governor's wife and not asking himself whether or not it was right and proper to address her here in church, and told her he had heard of her trouble and sympathized with his whole soul.",2
"Though they were all going with him, Anatole evidently wished to make something touching and solemn out of this address to his comrades.",2
"(He was well acquainted with the senator, but thought it necessary on this occasion to address him formally.)",2
"As became known later, he had scarcely begun to address the merchants before tears gushed from his eyes and he concluded in a trembling voice.",2
"To fear or to try to escape that force, to address entreaties or exhortations to those who served as its tools, was useless.",2
Yes. I promised to give them your Indiana address tomorrow morning—this morning.,1
"He turned to address Dan, when the sagging building behind them exploded into flames and light.",2
"The Byrne address was on the east side of town, but as Dean had time to kill, he decided to drive west to what the locals called the beltway, a loop road around the city.",1
Fred made a professional recovery with the help of a gulp of lemonade as Dean continued to address Mrs. Byrne.,2
He scribbled Ethel Rosewater's name and address on a scrap of paper.,1
"Early in his presidency, in a 1953 address that would become known as his ""Cross of Iron"" speech, he declared, ""Every gun that is made, every warship launched, every rocket fired, signifies in the final sense a theft from those who hunger and are not fed, those who are cold and are not clothed.",2
"Four of the problems I address in this book—ignorance, disease, famine, and poverty—are purely technical problems.",2
"Many technological problems I don't address in this book, but I believe technology will provide solutions for those also.",2
"A weal dog astwide a fence! shouted Denisov after him (the most insulting expression a cavalryman can address to a mounted infantryman) and riding up to Rostov, he burst out laughing.",2
"At the next review, they say, the Emperor did not once deign to address him.",2
"Cynthia's speech about Billy Langstrom seemed as old as the Gettysburg Address, but far less remembered.",1
"No return address, nothing.",1
Here. This is her address.,1
Count Rostopchin was mentally preparing the angry and stinging reproaches he meant to address to Kutuzov for his deception.,2
