Sentence,Type
"But right or wrong, she isn't his daughter.",1
"right or wrong, the decision had been made.",1
"The title of Ralph Nader's book was right: That car was Unsafe at Any Speed, at least with the master cylinder removed.",1
Is it all right? said Anatole.,1
And all will come right and she won't say anything to Mamma.,1
"All right, all right! said the old count.",1
"It seems to be all right, Pierre concluded, and followed Anna Mikhaylovna.",1
"That is not right, said the brave woman.",1
Some people just put more effort into distinguishing right from wrong than others.,1
In the right stage of the weather a pond fires its evening gun with great regularity.,1
"Regardless of who is ""right,"" the harm comes if you try to do all these things at once.",1
"All right, all right, friend, stay here at the staff and tomorrow we'll have a talk.",1
Sharing their problems was a step in the right direction.,1
"All right! exclaimed Dorothy, eagerly.",1
"That's all right, returned the man's voice, more pleasantly than before.",1
"He made a mumbling sound in confirmation of this, took her hand, and began pressing it to different parts of his breast as if trying to find the right place for it.",1
"I was right from the start, though... about you.",1
That's right: India is a net food exporter to the tune of US$6 billion a year.,1
After that he asked me if the strings were all right and changed them at once when I answered in the negative.,1
"That's not right! cried the prince, and himself pushed it a few inches from the corner and then closer in again.",1
"She was right, of course, but having mama stand there watching her suffer was just as upsetting for Destiny.",1
"She goes ahead all right, said Christopher, ""but how shall we guide her?""",1
"His father and mother were Quakers, and they did not think it was right to spend money for such things.",1
"She goes ahead all right, said Christopher, ""but how shall we guide her?""",1
"All right, said the Wizard; ""I'm with you, whatever you decide.",1
"All right, one can't talk--how tiresome!",1
It served him right after his display yesterday.,1
Children will educate themselves under right conditions.,1
"You must know that King Frost, like all other kings, has great treasures of gold and precious stones; but as he is a generous old monarch, he endeavours to make a right use of his riches.",1
"The doctor, who was fetched that same night, bled him and said that the prince had had a seizure paralyzing his right side.",2
"We guide the pencil with the right hand, and feel carefully with the forefinger of the left hand to see that we shape and space the letters correctly.",2
"At her right sat the queerly assorted Jury--animals, animated dummies and people--all gravely prepared to listen to what was said.",2
"They are everywhere, above us, on our left, on our right; they environ us on all sides.",2
"We should have attacked Napoleon in the center or on the right, and the engagement would have taken place on the twenty-fifth, in the position we intended and had fortified.",2
Yully walked to the right of the monument.,2
She stepped right and hugged him.,2
She stepped right and pulled the newspaper down with one hand.,2
"They had to move right, and leave the house behind them.",2
"Alex leaned to his right and placed his hands, fists down, on the desk.",2
Howie moved right for a better view.,2
Take the first street to the right.,2
The most common ones are: left and right; forward(s) and backward(s); up and down.,2
"Another example is stage blocking, where ""stage left"" ""stage right"" are, by convention, defined from the point of view of actors facing the audience.",2
"Since counter-clockwise may be defined in terms of up, forward, and right, this experiment unambiguously differentiates left from right using only natural elements: if they were reversed, or the atoms spun clockwise, the radiation would follow the spin axis instead of being opposite to it.",2
"The need for impersonal terms is most clearly seen in a rowing shell where the majority of the crew face aft (""backwards""), hence the oars to their right are actually on the port side of the boat.",2
"Rowers eschew the terms left, right, port and starboard in favor of stroke-side and bow-side. The usage derives from the tradition of having the stroke (the rower closest to the stern of the boat) oar on the port side of the boat.",2
The inability to accurately differentiate between left and right is known as left-right confusion (LRC).,2
"Gormley and Brydges found that in a group of 800 adults, 17% of women and 9% of men reported difficulty differentiating between left and right.",2
This research revealed that inferior parietal and right angular gyrus activation were correlated with LRD performance in both men and women.,2
"Results showed differences in neural activity patterns in the right cerebellum, right superior temporal gyrus, and left temporoparietal junction during the encoding phase, and indicated differential neural activity in the inferior parietal, right superior temporal, and right cerebellum regions in the working memory tests.",2
"Although some individuals may struggle with LRD more than others, discriminating between left and right in the face of distraction has been shown to impair even the most proficient individual's ability to accurately differentiate between the two.",2
"To her right was a blackberry thicket laden with berries – mostly red, but some dark.",2
Do you realize how close you would have come to running into a bear if you had turned right?,2
"To his right, walked the woman he might marry – Connie Spencer.",2
I looked left and right and everything was there.,2
"Crack! crash! bang! went his iron-shod hoofs against the wooden bodies of the Gargoyles, and they were battered right and left with such force that they scattered like straws in the wind.",2
On the right the Guards were entering the misty region with a sound of hoofs and wheels and now and then a gleam of bayonets; to the left beyond the village similar masses of cavalry came up and disappeared in the sea of mist.,2
He turned right and saw his brother in the classroom.,2
"Following Martha's directions, they moved to their right.",2
"Still, he had the right to know.",3
They have no right to be inside the earth at all.,3
The only obligation which I have a right to assume is to do at any time what I think correct.,3
"In the first place, I tell you we have no right to question the Emperor about that, and secondly, if the Russian nobility was correct, the Emperor could not answer such a question.",3
"I enjoy those freedoms much like an interest payment or dividend, and I call it ""my right"" to free speech.",3
You have a right to know everything.,3
There are those who would elevate the right to food as being a fundamental human right.,3
To think of the right to life as somehow different than a right to food is hard for me.,3
But a rickety wooden thing like you has no right to be alive.,3
"By this fluctuation the pond asserts its title to a shore, and thus the shore is shorn, and the trees cannot hold it by right of possession.",3
Women were given the right to vote.,3
Everyone has the right to education.,3
"Rights are often considered fundamental to any civilization, for they are regarded as established pillars of society and culture,[2] and the history of social conflicts can be found in the history of each right and its development. ",3
"Some theorists suggest civil disobedience is, itself, a right, and it was advocated by thinkers such as Henry David Thoreau, Martin Luther King Jr., and Mohandas Karamchand Gandhi.",3
A right to life,3
a right to choose,3
a right to vote,3
a right to one phone call,3
